Date,workshop,home maintenance,career,new skill,BSDS,life,oppe
21-10-2025,0,0,0,0,1,0,1
19-10-2025,0,0,0,0,1,0,0
04-10-2025,0,0,0,0,1,0,0
12-10-2025,0,0,0,1,0,0,1
03-10-2025,0,0,0,0,1,0,0
20-10-2025,0,0,0,0,1,0,0
11-10-2025,1,0,1,1,1,0,0
02-10-2025,0,0,0,0,1,0,0
10-10-2025,0,0,0,1,1,0,1
01-10-2025,0,1,0,0,0,0,0
18-10-2025,0,0,0,1,1,0,0
09-10-2025,0,0,1,1,1,0,0
17-10-2025,0,0,0,1,1,1,1
08-10-2025,0,0,0,1,1,0,0
16-10-2025,0,0,0,1,1,0,0
07-10-2025,0,0,0,1,1,0,0
15-10-2025,0,0,1,1,1,0,0
06-10-2025,0,0,0,0,1,1,0
23-10-2025,0,0,0,0,1,0,1
14-10-2025,0,1,0,1,1,0,0
05-10-2025,0,0,0,0,1,0,0
22-10-2025,0,0,0,1,1,1,1
13-10-2025,0,0,1,1,1,0,1
